ID,Ticker,Date,TEXTBLOB_Polarity,TEXTBLOB_Subjectivity,FINBERT_Negative,FINBERT_Neutral,FINBERT_Positive,EMO_Neutral,EMO_Disappointment,EMO_Annoyance,EMO_Disapproval,EMO_Approval,EMO_Realization,EMO_Sadness,EMO_Optimism,EMO_Desire,EMO_Admiration,EMO_Disgust,EMO_Embarrassment,EMO_Confusion,EMO_Caring,EMO_Remorse,EMO_Anger,EMO_Relief,EMO_Curiosity,EMO_Nervousness,EMO_Joy,EMO_Gratitude,EMO_Pride,EMO_Grief,EMO_Love,EMO_Amusement,EMO_Surprise,EMO_Fear,EMO_Excitement
17812638.0,AAPL,2020-10-07T04:23:26Z,0.2143,0.4286,0.8457,0.1398,0.0146,0.6429,0.1915,0.082,0.0786,0.0767,0.0612,0.0124,0.0091,0.0035,0.0031,0.0031,0.003,0.0027,0.0025,0.0025,0.0024,0.0021,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0006,0.0006,0.0006,0.0005
17808018.0,AAPL,2020-10-09T12:25:13Z,0.3,0.4,0.1221,0.5807,0.2972,0.0679,0.0026,0.0066,0.0049,0.0546,0.0138,0.0011,0.0036,0.0007,0.1968,0.0012,0.0006,0.0013,0.0015,0.0007,0.0008,0.0025,0.0005,0.0001,0.0029,0.856,0.0031,0.0004,0.0008,0.0006,0.0012,0.0003,0.0026
18989418.0,AAPL,2021-01-02T16:25:30Z,0.15,0.55,0.3536,0.5583,0.0881,0.4553,0.2026,0.0212,0.084,0.0733,0.0349,0.0242,0.049,0.0056,0.0025,0.0028,0.0018,0.0034,0.0083,0.0023,0.0013,0.0039,0.001,0.0063,0.0022,0.0013,0.0007,0.0014,0.0036,0.0012,0.0008,0.0065,0.0015
18991334.0,AAPL,2021-01-03T16:06:22Z,0.2812,0.5125,0.0268,0.9342,0.0389,0.4959,0.0014,0.0025,0.002,0.0904,0.007,0.001,0.0176,0.012,0.0069,0.0009,0.0005,0.0102,0.0062,0.0006,0.0007,0.0014,0.0749,0.0024,0.0141,0.0012,0.0008,0.0003,0.0051,0.0047,0.0048,0.0018,0.3142
18991944.0,AAPL,2021-01-03T19:01:04Z,0.0,0.0,0.017,0.9404,0.0425,0.9028,0.0024,0.0033,0.0017,0.0412,0.0103,0.0018,0.0127,0.0054,0.0025,0.0008,0.0003,0.0042,0.0012,0.0005,0.0006,0.0006,0.0054,0.0005,0.0031,0.0013,0.0005,0.0003,0.0011,0.0021,0.001,0.0008,0.0079
18993945.0,AAPL,2021-01-04T07:05:41Z,-0.05,0.45,0.0139,0.8386,0.1474,0.6221,0.0042,0.0033,0.0016,0.0655,0.0657,0.0017,0.025,0.0077,0.004,0.0012,0.0015,0.0041,0.001,0.0007,0.0005,0.0023,0.0092,0.0015,0.0124,0.002,0.0014,0.0007,0.0039,0.0042,0.055,0.0016,0.1198
18993952.0,AAPL,2021-01-04T10:18:38Z,0.0,0.0,0.01,0.4072,0.5828,0.9497,0.0029,0.004,0.0023,0.0281,0.0084,0.0021,0.0041,0.0037,0.002,0.0011,0.0004,0.0029,0.0017,0.0005,0.0008,0.0004,0.0026,0.0004,0.0018,0.0005,0.0003,0.0003,0.0018,0.0017,0.0007,0.0008,0.0025
18994562.0,AAPL,2021-01-04T11:28:03Z,0.0,0.0,0.0098,0.9048,0.0853,0.9546,0.0031,0.0032,0.0022,0.0221,0.0078,0.002,0.0047,0.0042,0.0046,0.0013,0.0004,0.0022,0.0012,0.0004,0.0008,0.0004,0.0018,0.0004,0.0019,0.0011,0.0004,0.0004,0.0016,0.0014,0.001,0.0011,0.0044
19003780.0,AAPL,2021-01-04T17:38:02Z,0.17,0.57,0.9356,0.0515,0.0129,0.8607,0.0035,0.0037,0.0031,0.1441,0.0548,0.0013,0.039,0.0038,0.0034,0.0007,0.0004,0.0039,0.0078,0.0005,0.0004,0.002,0.0021,0.0011,0.0017,0.0008,0.0006,0.0003,0.0012,0.0008,0.0009,0.0014,0.0031
19011204.0,AAPL,2021-01-05T02:13:23Z,0.0167,0.0333,0.0096,0.8751,0.1153,0.8762,0.0021,0.0035,0.002,0.0785,0.0268,0.0021,0.0027,0.0016,0.0028,0.0013,0.0006,0.0014,0.0011,0.0006,0.0007,0.0019,0.0007,0.0007,0.0083,0.0018,0.0009,0.0005,0.002,0.003,0.0011,0.0012,0.0061
19011315.0,AAPL,2021-01-05T02:42:34Z,0.0,0.0,0.0162,0.0523,0.9314,0.9086,0.0026,0.0041,0.0023,0.1146,0.0227,0.0016,0.0051,0.0021,0.0031,0.0011,0.0004,0.0012,0.0018,0.0004,0.0006,0.0009,0.0012,0.0004,0.0021,0.0005,0.0005,0.0003,0.0017,0.0015,0.0007,0.0008,0.0023
19015763.0,AAPL,2021-01-05T13:07:23Z,0.0,0.0,0.0451,0.1688,0.7861,0.9019,0.0029,0.0045,0.0127,0.1152,0.0152,0.0009,0.0067,0.0011,0.0023,0.0007,0.0002,0.0022,0.0026,0.0003,0.0008,0.0006,0.0007,0.0002,0.001,0.0009,0.0003,0.0002,0.0013,0.0009,0.0003,0.0004,0.0006
19016184.0,AAPL,2021-01-05T13:26:00Z,0.0,0.0,0.9714,0.0198,0.0088,0.8716,0.0501,0.0058,0.0254,0.0236,0.024,0.0107,0.0196,0.0047,0.002,0.0009,0.0008,0.0045,0.002,0.0013,0.0006,0.0015,0.0018,0.001,0.0022,0.0014,0.0004,0.0008,0.003,0.0018,0.0009,0.0009,0.001
19016949.0,AAPL,2021-01-05T14:34:17Z,0.4333,0.7333,0.0158,0.8109,0.1733,0.4914,0.003,0.0023,0.0014,0.0264,0.0099,0.0018,0.0876,0.0151,0.0055,0.0009,0.0004,0.0503,0.0041,0.0007,0.001,0.0004,0.2301,0.0017,0.0014,0.0007,0.0002,0.0004,0.0043,0.0008,0.0121,0.0045,0.0128
19019992.0,AAPL,2021-01-05T15:31:57Z,0.0,0.0,0.0218,0.1353,0.843,0.9296,0.0022,0.0034,0.0034,0.068,0.0082,0.001,0.0088,0.0036,0.0032,0.0008,0.0002,0.0018,0.0027,0.0003,0.0007,0.0004,0.0013,0.0002,0.001,0.0007,0.0003,0.0002,0.0018,0.001,0.0003,0.0005,0.0014
19022318.0,AAPL,2021-01-05T17:20:37Z,0.0,0.0,0.0136,0.8719,0.1145,0.9678,0.0039,0.006,0.0037,0.0166,0.0069,0.0023,0.0021,0.0012,0.0038,0.0018,0.0007,0.0022,0.0009,0.0004,0.0019,0.0004,0.0016,0.0003,0.002,0.0009,0.0004,0.0004,0.0013,0.0021,0.001,0.0012,0.0026
